Date,Home Team,Score,Away Team
23-12-2023,Fulham,0 - 2,Burnley
31-12-2023,Fulham,2 - 1,Arsenal
30-01-2024,Fulham,0 - 0,Everton
10-02-2024,Fulham,3 - 1,Bournemouth
17-02-2024,Fulham,1 - 2,Aston Villa
02-03-2024,Fulham,3 - 0,Brighton
16-03-2024,Fulham,3 - 0,Tottenham
06-04-2024,Fulham,0 - 1,Newcastle
12-08-2023,Everton,0 - 1,Fulham
26-08-2023,Arsenal,2 - 2,Fulham
02-09-2023,Man City,5 - 1,Fulham
23-09-2023,Crystal Palace,0 - 0,Fulham
23-10-2023,Tottenham,2 - 0,Fulham
29-10-2023,Brighton,1 - 1,Fulham
12-11-2023,Aston Villa,3 - 1,Fulham
03-12-2023,Liverpool,4 - 3,Fulham
16-12-2023,Newcastle,3 - 0,Fulham
26-12-2023,Bournemouth,3 - 0,Fulham
13-01-2024,Chelsea,1 - 0,Fulham
03-02-2024,Burnley,2 - 2,Fulham
24-02-2024,Man United,1 - 2,Fulham
09-03-2024,Wolves,2 - 1,Fulham
30-03-2024,Sheffield United,3 - 3,Fulham
02-04-2024,Nott'm Forest,3 - 1,Fulham
14-04-2024,West Ham,? - ?,Fulham
19-08-2023,Liverpool,3 - 1,Bournemouth
03-09-2023,Liverpool,3 - 0,Aston Villa
24-09-2023,Liverpool,3 - 1,West Ham
21-10-2023,Liverpool,2 - 0,Everton
29-10-2023,Liverpool,3 - 0,Nott'm Forest
12-11-2023,Liverpool,3 - 0,Brentford
03-12-2023,Liverpool,4 - 3,Fulham
17-12-2023,Liverpool,0 - 0,Man United
23-12-2023,Liverpool,1 - 1,Arsenal
01-01-2024,Liverpool,4 - 2,Newcastle
31-01-2024,Liverpool,4 - 1,Chelsea
10-02-2024,Liverpool,3 - 1,Burnley
21-02-2024,Liverpool,4 - 1,Luton
10-03-2024,Liverpool,1 - 1,Man City
31-03-2024,Liverpool,2 - 1,Brighton
04-04-2024,Liverpool,3 - 1,Sheffield United
14-04-2024,Liverpool,? - ?,Crystal Palace
13-08-2023,Chelsea,1 - 1,Liverpool
27-08-2023,Newcastle,1 - 2,Liverpool
16-09-2023,Wolves,1 - 3,Liverpool
30-09-2023,Tottenham,2 - 1,Liverpool
08-10-2023,Brighton,2 - 2,Liverpool
05-11-2023,Luton,1 - 1,Liverpool
25-11-2023,Man City,1 - 1,Liverpool
06-12-2023,Sheffield United,0 - 2,Liverpool
09-12-2023,Crystal Palace,1 - 2,Liverpool
26-12-2023,Burnley,0 - 2,Liverpool
21-01-2024,Bournemouth,0 - 4,Liverpool
04-02-2024,Arsenal,3 - 1,Liverpool
17-02-2024,Brentford,1 - 4,Liverpool
02-03-2024,Nott'm Forest,0 - 1,Liverpool
07-04-2024,Man United,2 - 2,Liverpool
01-09-2023,Luton,1 - 2,West Ham
23-09-2023,Luton,1 - 1,Wolves
03-10-2023,Luton,1 - 2,Burnley
07-10-2023,Luton,0 - 1,Tottenham
05-11-2023,Luton,1 - 1,Liverpool
25-11-2023,Luton,2 - 1,Crystal Palace
05-12-2023,Luton,3 - 4,Arsenal
10-12-2023,Luton,1 - 2,Man City
23-12-2023,Luton,1 - 0,Newcastle
30-12-2023,Luton,2 - 3,Chelsea
30-01-2024,Luton,4 - 0,Brighton
10-02-2024,Luton,1 - 3,Sheffield United
18-02-2024,Luton,1 - 2,Man United
02-03-2024,Luton,2 - 3,Aston Villa
16-03-2024,Luton,1 - 1,Nott'm Forest
06-04-2024,Luton,2 - 1,Bournemouth
12-08-2023,Brighton,4 - 1,Luton
25-08-2023,Chelsea,3 - 0,Luton
16-09-2023,Fulham,1 - 0,Luton
30-09-2023,Everton,1 - 2,Luton
21-10-2023,Nott'm Forest,2 - 2,Luton
29-10-2023,Aston Villa,3 - 1,Luton
11-11-2023,Man United,1 - 0,Luton
02-12-2023,Brentford,3 - 1,Luton
26-12-2023,Sheffield United,2 - 3,Luton
12-01-2024,Burnley,1 - 1,Luton
03-02-2024,Newcastle,4 - 4,Luton
21-02-2024,Liverpool,4 - 1,Luton
09-03-2024,Crystal Palace,1 - 1,Luton
13-03-2024,Bournemouth,4 - 3,Luton
30-03-2024,Tottenham,2 - 1,Luton
03-04-2024,Arsenal,2 - 0,Luton
13-04-2024,Man City,? - ?,Luton
19-08-2023,Man City,1 - 0,Newcastle
02-09-2023,Man City,5 - 1,Fulham
23-09-2023,Man City,2 - 0,Nott'm Forest
21-10-2023,Man City,2 - 1,Brighton
04-11-2023,Man City,6 - 1,Bournemouth
25-11-2023,Man City,1 - 1,Liverpool
03-12-2023,Man City,3 - 3,Tottenham
16-12-2023,Man City,2 - 2,Crystal Palace
30-12-2023,Man City,2 - 0,Sheffield United
31-01-2024,Man City,3 - 1,Burnley
10-02-2024,Man City,2 - 0,Everton
17-02-2024,Man City,1 - 1,Chelsea
20-02-2024,Man City,1 - 0,Brentford
03-03-2024,Man City,3 - 1,Man United
31-03-2024,Man City,0 - 0,Arsenal
03-04-2024,Man City,4 - 1,Aston Villa
13-04-2024,Man City,? - ?,Luton
11-08-2023,Burnley,0 - 3,Man City
27-08-2023,Sheffield United,1 - 2,Man City
16-09-2023,West Ham,1 - 3,Man City
30-09-2023,Wolves,2 - 1,Man City
08-10-2023,Arsenal,1 - 0,Man City
29-10-2023,Man United,0 - 3,Man City
12-11-2023,Chelsea,4 - 4,Man City
06-12-2023,Aston Villa,1 - 0,Man City
10-12-2023,Luton,1 - 2,Man City
27-12-2023,Everton,1 - 3,Man City
13-01-2024,Newcastle,2 - 3,Man City
05-02-2024,Brentford,1 - 3,Man City
24-02-2024,Bournemouth,0 - 1,Man City
10-03-2024,Liverpool,1 - 1,Man City
06-04-2024,Crystal Palace,2 - 4,Man City
14-08-2023,Man United,1 - 0,Wolves
26-08-2023,Man United,3 - 2,Nott'm Forest
16-09-2023,Man United,1 - 3,Brighton
30-09-2023,Man United,0 - 1,Crystal Palace
07-10-2023,Man United,2 - 1,Brentford
29-10-2023,Man United,0 - 3,Man City
11-11-2023,Man United,1 - 0,Luton
06-12-2023,Man United,2 - 1,Chelsea
09-12-2023,Man United,0 - 3,Bournemouth
26-12-2023,Man United,3 - 2,Aston Villa
14-01-2024,Man United,2 - 2,Tottenham
04-02-2024,Man United,3 - 0,West Ham
24-02-2024,Man United,1 - 2,Fulham
09-03-2024,Man United,2 - 0,Everton
07-04-2024,Man United,2 - 2,Liverpool
19-08-2023,Tottenham,2 - 0,Man United
03-09-2023,Arsenal,3 - 1,Man United
23-09-2023,Burnley,0 - 1,Man United
21-10-2023,Sheffield United,1 - 2,Man United
04-11-2023,Fulham,0 - 1,Man United
26-11-2023,Everton,0 - 3,Man United
02-12-2023,Newcastle,1 - 0,Man United
17-12-2023,Liverpool,0 - 0,Man United
23-12-2023,West Ham,2 - 0,Man United
30-12-2023,Nott'm Forest,2 - 1,Man United
01-02-2024,Wolves,3 - 4,Man United
11-02-2024,Aston Villa,1 - 2,Man United
18-02-2024,Luton,1 - 2,Man United
03-03-2024,Man City,3 - 1,Man United
30-03-2024,Brentford,1 - 1,Man United
04-04-2024,Chelsea,4 - 3,Man United
13-04-2024,Bournemouth,? - ?,Man United
12-08-2023,Newcastle,5 - 1,Aston Villa
27-08-2023,Newcastle,1 - 2,Liverpool
16-09-2023,Newcastle,1 - 0,Brentford
